"Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
"1",1,60,"3",65,8450,"1","0","3","3","0","4","0","5","2","2","0","5",7,5,2003,2003,"1","1","12","13","1",196,"2","4","2","3","4","4","3",706,"6",0,150,856,"1","0","1","4",856,854,0,1710,1,0,2,1,3,1,"2",8,"6",0,"0","1",2003,"2",2,548,"5","5","2",0,61,0,0,0,0,"0","0","0",0,2,2008,"8","4",208500
"2",2,20,"3",80,9600,"1","0","3","3","0","2","0","24","1","2","0","2",6,8,1976,1976,"1","1","8","8","2",0,"3","4","1","3","4","2","0",978,"6",0,284,1262,"1","0","1","4",1262,0,0,1262,0,1,2,0,3,1,"3",6,"6",1,"5","1",1976,"2",2,460,"5","5","2",298,0,0,0,0,0,"0","0","0",0,5,2007,"8","4",181500
"3",3,60,"3",68,11250,"1","0","0","3","0","4","0","5","2","2","0","5",7,5,2001,2002,"1","1","12","13","1",162,"2","4","2","3","4","3","3",486,"6",0,434,920,"1","0","1","4",920,866,0,1786,1,0,2,1,3,1,"2",6,"6",1,"5","1",2001,"2",2,608,"5","5","2",0,42,0,0,0,0,"0","0","0",0,9,2008,"8","4",223500
"4",4,70,"3",60,9550,"1","0","0","3","0","0","0","6","2","2","0","5",7,5,1915,1970,"1","1","13","15","2",0,"3","4","0","4","2","4","0",216,"6",0,540,756,"1","2","1","4",961,756,0,1717,1,0,1,0,3,1,"2",7,"6",1,"3","5",1998,"3",3,642,"5","5","2",0,35,272,0,0,0,"0","0","0",0,2,2006,"8","0",140000
"5",5,60,"3",84,14260,"1","0","0","3","0","2","0","13","2","2","0","5",8,5,2000,2000,"1","1","12","13","1",350,"2","4","2","3","4","0","3",655,"6",0,490,1145,"1","0","1","4",1145,1053,0,2198,1,0,2,1,4,1,"2",9,"6",1,"5","1",2000,"2",3,836,"5","5","2",192,84,0,0,0,0,"0","0","0",0,12,2008,"8","4",250000
"6",6,50,"3",85,14115,"1","0","0","3","0","4","0","11","2","2","0","0",5,5,1993,1995,"1","1","12","13","2",0,"3","4","5","3","4","4","3",732,"6",0,64,796,"1","0","1","4",796,566,0,1362,1,0,1,1,1,1,"3",5,"6",0,"0","1",1993,"3",2,480,"5","5","2",40,30,0,320,0,0,"0","3","3",700,10,2009,"8","4",143000
"7",7,20,"3",75,10084,"1","0","3","3","0","4","0","20","2","2","0","2",8,5,2004,2005,"1","1","12","13","3",186,"2","4","2","1","4","0","3",1369,"6",0,317,1686,"1","0","1","4",1694,0,0,1694,1,0,2,0,3,1,"2",7,"6",1,"3","1",2004,"2",2,636,"5","5","2",255,57,0,0,0,0,"0","0","0",0,8,2007,"8","4",307000
"9",9,50,"4",51,6120,"1","0","3","3","0","4","0","17","0","2","0","0",7,5,1931,1950,"1","1","3","15","2",0,"3","4","0","4","4","4","6",0,"6",0,952,952,"1","2","1","1",1022,752,0,1774,0,0,2,0,2,2,"3",8,"2",2,"5","5",1931,"3",2,468,"2","5","2",90,0,205,0,0,0,"0","0","0",0,4,2008,"8","0",129900
"10",10,190,"3",50,7420,"1","0","3","3","0","0","0","3","0","0","1","1",5,6,1939,1950,"1","1","8","8","2",0,"3","4","0","4","4","4","3",851,"6",0,140,991,"1","0","1","4",1077,0,0,1077,1,0,1,0,2,2,"3",5,"6",2,"5","1",1939,"2",1,205,"3","5","2",0,4,0,0,0,0,"0","0","0",0,1,2008,"8","4",118000
"11",11,20,"3",70,11200,"1","0","3","3","0","4","0","18","2","2","0","2",5,5,1965,1965,"3","1","6","6","2",0,"3","4","1","4","4","4","5",906,"6",0,134,1040,"1","0","1","4",1040,0,0,1040,1,0,1,0,3,1,"3",5,"6",0,"0","5",1965,"3",1,384,"5","5","2",0,0,0,0,0,0,"0","0","0",0,2,2008,"8","4",129500
"12",12,60,"3",85,11924,"1","0","0","3","0","4","0","15","2","2","0","5",9,5,2005,2006,"3","1","14","15","3",286,"0","4","2","1","4","4","3",998,"6",0,177,1175,"1","0","1","4",1182,1142,0,2324,1,0,3,0,4,1,"0",11,"6",2,"3","3",2005,"1",3,736,"5","5","2",147,21,0,0,0,0,"0","0","0",0,7,2006,"6","5",345000
"14",14,20,"3",91,10652,"1","0","0","3","0","4","0","5","2","2","0","2",7,5,2006,2007,"1","1","12","13","3",306,"2","4","2","3","4","0","6",0,"6",0,1494,1494,"1","0","1","4",1494,0,0,1494,0,0,2,0,3,1,"2",7,"6",1,"3","1",2006,"2",3,840,"5","5","2",160,33,0,0,0,0,"0","0","0",0,8,2007,"6","5",279500
"16",16,45,"4",51,6120,"1","0","3","3","0","0","0","3","2","2","0","1",7,8,1929,2001,"1","1","13","14","2",0,"3","4","0","4","4","4","6",0,"6",0,832,832,"1","0","1","0",854,0,0,854,0,0,1,0,2,1,"3",5,"6",0,"0","5",1991,"3",2,576,"5","5","2",48,112,0,0,0,0,"0","1","0",0,7,2007,"8","4",132000
"18",18,90,"3",72,10791,"1","0","3","3","0","4","0","18","2","2","2","2",4,5,1967,1967,"1","1","8","8","2",0,"3","4","3","0","0","1","2",0,"2",0,0,0,"1","4","1","4",1296,0,0,1296,0,0,2,0,2,2,"3",6,"6",0,"0","4",1967,"3",2,516,"5","5","2",0,0,0,0,0,0,"0","0","3",500,10,2006,"8","4",90000
"19",19,20,"3",66,13695,"1","0","3","3","0","4","0","19","5","2","0","2",5,5,2004,2004,"1","1","12","13","2",0,"3","4","2","4","4","4","3",646,"6",0,468,1114,"1","0","1","4",1114,0,0,1114,1,0,1,1,3,1,"2",6,"6",0,"0","5",2004,"3",2,576,"5","5","2",0,102,0,0,0,0,"0","0","0",0,6,2008,"8","4",159000
"20",20,20,"3",70,7560,"1","0","3","3","0","4","0","12","2","2","0","2",5,6,1958,1965,"3","1","3","10","2",0,"3","4","1","4","4","4","4",504,"6",0,525,1029,"1","4","1","4",1339,0,0,1339,0,0,1,0,3,1,"3",6,"2",0,"0","1",1958,"3",1,294,"5","5","2",0,0,0,0,0,0,"0","3","0",0,5,2009,"0","0",139000
"21",21,60,"3",101,14215,"1","0","0","3","0","0","0","15","2","2","0","5",8,5,2005,2006,"1","1","12","13","1",380,"2","4","2","1","4","0","6",0,"6",0,1158,1158,"1","0","1","4",1158,1218,0,2376,0,0,3,1,4,1,"2",9,"6",1,"3","3",2005,"2",3,853,"5","5","2",240,154,0,0,0,0,"0","0","0",0,11,2006,"6","5",325300
"22",22,45,"4",57,7449,"1","1","3","0","0","4","0","9","2","2","0","1",7,7,1930,1950,"1","1","13","14","2",0,"3","4","2","4","4","4","6",0,"6",0,637,637,"1","0","1","1",1108,0,0,1108,0,0,1,0,3,1,"2",6,"6",1,"3","1",1930,"3",1,280,"5","5","0",0,0,205,0,0,0,"0","1","0",0,6,2007,"8","4",139400
